id,city,country,lat,lng,date,temp,max temp,humidity,cloudiness,wind speed
3472638,Alegrete,BR,-29.78,-55.79,1619470784,63.64,63.64,52,0,6.67
3452179,Quaraí,BR,-30.39,-56.45,1619470784,62.73,62.73,59,0,6.4
3855065,General Roca,AR,-39.03,-67.58,1619470784,71.6,71.6,49,0,5.75
3372472,Vila Franca do Campo,PT,37.72,-25.43,1619470785,60.8,60.8,77,75,8.05
3354077,Opuwo,NA,-18.06,13.84,1619470785,65.64,65.64,48,9,3.42
4566022,Loíza,PR,18.43,-65.88,1619470664,83.82,87.8,48,40,14.97
6137462,Saint-Augustin,CA,51.23,-58.65,1619470786,41.07,41.07,80,100,30.49
2035836,Manzhouli,CN,49.6,117.43,1619470786,33.37,33.37,65,100,27.42
3381428,Iracoubo,GF,5.48,-53.2,1619470786,77.41,77.41,88,100,11.16
518488,Novonikolayevskiy,RU,50.97,42.36,1619470787,44.01,44.01,84,98,9.24
2358382,Léo,BF,11.1,-2.1,1619470787,86.72,86.72,37,71,3.98
1623197,Tual,ID,-5.67,132.75,1619470787,82.99,82.99,57,69,4.23
2514301,Mahon,ES,39.89,4.27,1619470711,59.0,59.0,82,20,13.8
1717348,Claveria,PH,18.61,121.08,1619470788,72.93,72.93,83,73,12.17
3702269,Bisira,PA,8.52,-81.71,1619470788,63.23,63.23,85,100,5.53
1489209,Troitskoye,RU,52.98,84.68,1619470788,43.47,43.47,89,100,11.86
2126785,Belaya Gora,RU,68.53,146.42,1619470789,17.76,17.76,84,99,5.73
2537881,Safi,MA,32.3,-9.24,1619470789,63.86,63.86,84,2,15.79
2110560,Yamada,JP,39.47,141.95,1619470789,40.59,40.59,51,0,4.59
367544,Sawākin,SD,19.11,37.33,1619470790,83.52,83.52,70,27,0.83
4094490,Tuskegee,US,32.42,-85.69,1619470790,78.4,81.0,41,1,5.75
1803560,Lingao,CN,19.91,109.69,1619470790,75.56,75.56,91,100,9.26
2064735,Nhulunbuy,AU,-12.23,136.77,1619470515,77.0,77.0,94,75,1.14
2037886,Dandong,CN,40.13,124.39,1619470790,50.27,50.27,95,100,8.97
2122605,Okhotsk,RU,59.38,143.3,1619470791,21.42,21.42,79,90,2.68
1254046,Tura,IN,25.52,90.22,1619470791,77.99,77.99,31,93,4.68
2685750,Östersund,SE,63.18,14.64,1619470791,32.0,32.0,59,90,5.75
3939761,Hualmay,PE,-11.1,-77.61,1619470792,70.52,70.52,77,12,9.82
2120591,Tilichiki,RU,60.47,166.1,1619470792,30.29,30.29,99,100,2.48
1630639,Pringsewu,ID,-5.36,104.97,1619470792,72.27,72.27,96,56,0.89
607610,Zhangaözen,KZ,43.3,52.8,1619470793,61.61,61.61,50,39,2.59
2269594,Cascais,PT,38.7,-9.42,1619470793,61.07,62.01,88,20,6.91
5359864,Isla Vista,US,34.41,-119.86,1619470793,64.33,66.99,52,20,17.27
1529376,Korla,CN,41.76,86.15,1619470793,54.63,54.63,34,16,6.51
2277060,Gbarnga,LR,7.0,-9.47,1619470794,76.06,76.06,88,37,3.87
